evidence_id,claim_id,evidence_type,repository,commit_sha,path,locator,verification_command,expected_observation,public_url
MD-MCP-BOUNDARY,MD-MCP-GAP-01,boundary,meterdesk,f9dee13,README.md,MCP boundary,git show f9dee13:README.md,README states adapter-ready layer without required MCP server,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/README.md
MD-CLOUD-BOUNDARY,MD-CLOUD-GAP-01,boundary,meterdesk,f9dee13,README.md,container and production limits,git show f9dee13:README.md,README limits demo auth and local container claims,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/README.md
FH-TOOLS-SOURCE,FH-TOOLS-01,implementation,forge-harness,a0146b2,src/tools/runtime.ts,Tool Runtime,git show a0146b2:src/tools/runtime.ts,Tool Runtime applies policy before execution,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/src/tools/runtime.ts
FH-TOOLS-TEST,FH-TOOLS-01,test,forge-harness,a0146b2,test/tools/toolRuntime.test.ts,Tool Runtime tests,npm test -- --run test/tools/toolRuntime.test.ts,Tool policy assertions pass,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/tools/toolRuntime.test.ts
FH-CONTEXT-SOURCE,FH-CONTEXT-01,implementation,forge-harness,a0146b2,src/context/compaction.ts,compaction implementation,git show a0146b2:src/context/compaction.ts,Compaction preserves bounded context contract,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/src/context/compaction.ts
FH-CONTEXT-TEST,FH-CONTEXT-01,test,forge-harness,a0146b2,test/context/compaction.test.ts,compaction tests,npm test -- --run test/context/compaction.test.ts,Compaction behavior is covered,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/context/compaction.test.ts
FH-TRACE-SOURCE,FH-TRACE-01,implementation,forge-harness,a0146b2,src/runtime/traceRecorder.ts,trace recorder,git show a0146b2:src/runtime/traceRecorder.ts,Append-only trace recorder exists,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/src/runtime/traceRecorder.ts
FH-TRACE-TEST,FH-TRACE-01,test,forge-harness,a0146b2,test/runtime/traceRecorder.test.ts,trace tests,npm test -- --run test/runtime/traceRecorder.test.ts,Trace recorder behavior passes,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/runtime/traceRecorder.test.ts
FH-MCP-SOURCE,FH-MCP-01,implementation,forge-harness,a0146b2,src/extensions/mcpToolAdapter.ts,MCP tool adapter,git show a0146b2:src/extensions/mcpToolAdapter.ts,MCP adapter implementation exists,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/src/extensions/mcpToolAdapter.ts
FH-MCP-TEST,FH-MCP-01,test,forge-harness,a0146b2,test/extensions/mcpToolAdapter.test.ts,MCP adapter tests,npm test -- --run test/extensions/mcpToolAdapter.test.ts,MCP adapter behavior passes,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/extensions/mcpToolAdapter.test.ts
FH-MCP-TRUST,FH-MCP-01,test,forge-harness,a0146b2,test/cli/pluginTrust.test.ts,plugin trust tests,npm test -- --run test/cli/pluginTrust.test.ts,Plugin trust preflight behavior passes,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/cli/pluginTrust.test.ts
FH-MULTI-SOURCE,FH-MULTI-01,implementation,forge-harness,a0146b2,src/domain/teamTask.ts,team task domain protocol,git show a0146b2:src/domain/teamTask.ts,Team task protocol records ownership and completion,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/src/domain/teamTask.ts
FH-MULTI-TEST,FH-MULTI-01,test,forge-harness,a0146b2,test/runtime/teamTaskProtocol.test.ts,team protocol tests,npm test -- --run test/runtime/teamTaskProtocol.test.ts,TaskGraph coordination behavior passes,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/runtime/teamTaskProtocol.test.ts
FH-COMPLETE-SOURCE,FH-COMPLETE-01,implementation,forge-harness,a0146b2,src/runtime/completionGate.ts,completion gate,git show a0146b2:src/runtime/completionGate.ts,CompletionGate checks obligations,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/src/runtime/completionGate.ts
FH-COMPLETE-TEST,FH-COMPLETE-01,test,forge-harness,a0146b2,test/runtime/completionGate.test.ts,completion tests,npm test -- --run test/runtime/completionGate.test.ts,CompletionGate invariants pass,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/runtime/completionGate.test.ts
FH-WORKTREE-SOURCE,FH-WORKTREE-01,implementation,forge-harness,a0146b2,src/runtime/workspace.ts,workspace and worktree integration,git show a0146b2:src/runtime/workspace.ts,Worktree isolation implementation exists,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/src/runtime/workspace.ts
FH-WORKTREE-TEST,FH-WORKTREE-01,test,forge-harness,a0146b2,test/runtime/workspace.test.ts,workspace tests,npm test -- --run test/runtime/workspace.test.ts,Worktree behavior passes,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/runtime/workspace.test.ts
FH-EVAL-SOURCE,FH-EVAL-01,report,forge-harness,a0146b2,docs/assets/evidence/offline-eval-regression-report.md,REGRESSED report,git show a0146b2:docs/assets/evidence/offline-eval-regression-report.md,13-attempt report retains REGRESSED verdict,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/docs/assets/evidence/offline-eval-regression-report.md
FH-EVAL-TEST,FH-EVAL-01,test,forge-harness,a0146b2,test/eval/comparison.test.ts,comparison tests,npm test -- --run test/eval/comparison.test.ts,Non-compensating comparison rules pass,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/eval/comparison.test.ts
FH-EVAL-SPEC,FH-EVAL-01,spec,forge-harness,a0146b2,docs/offline-eval.md,offline eval contract,git show a0146b2:docs/offline-eval.md,Versioned baselines and non-compensating regression rules are documented,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/docs/offline-eval.md
FH-TS-SOURCE,FH-TS-01,implementation,forge-harness,a0146b2,src/runtime/session.ts,TypeScript runtime session,git show a0146b2:src/runtime/session.ts,TypeScript Runtime implementation exists,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/src/runtime/session.ts
FH-TS-TEST,FH-TS-01,test,forge-harness,a0146b2,test/runtime/session.test.ts,session tests,npm test -- --run test/runtime/session.test.ts,Runtime session behavior passes,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/runtime/session.test.ts
FH-API-SPEC,FH-API-01,spec,forge-harness,a0146b2,docs/architecture-overview.md,architecture overview,git show a0146b2:docs/architecture-overview.md,Five runtime layers and ownership are documented,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/docs/architecture-overview.md
FH-API-TEST,FH-API-01,test,forge-harness,a0146b2,test/smoke/c17cCapstone.test.ts,capstone smoke,npm test -- --run test/smoke/c17cCapstone.test.ts,Capstone boundaries are exercised,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/test/smoke/c17cCapstone.test.ts
FH-ASYNC-BOUNDARY,FH-ASYNC-GAP-01,boundary,forge-harness,a0146b2,README.md,Runtime boundaries,git show a0146b2:README.md,README excludes crash-safe resume and remote workers,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/README.md
FH-RAG-BOUNDARY,FH-RAG-GAP-01,boundary,forge-harness,a0146b2,README.md,Runtime boundaries,git show a0146b2:README.md,README excludes RAG and vector database,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/README.md
FH-CLOUD-BOUNDARY,FH-CLOUD-GAP-01,boundary,forge-harness,a0146b2,README.md,hosted boundary,git show a0146b2:README.md,README states local CLI without hosted control plane,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/README.md
FH-JAVA-BOUNDARY,FH-JAVA-GAP-01,boundary,forge-harness,a0146b2,README.md,implementation language,git show a0146b2:README.md,README and source are TypeScript only,https://github.com/ZophiaWong/forge-harness/blob/a0146b2/README.md
