sample_id,collected_at,source_type,source_detail_level,company,job_title,city,experience_raw,experience_bucket,education_raw,role_cluster,responsibilities_summary,must_have,nice_to_have,tech_tags,agent_tags,engineering_tags,meterdesk_evidence_level,meterdesk_evidence,meterdesk_gap,forge_evidence_level,forge_evidence,forge_gap,source_url,notes
A11,2026-08-10,BOSS直聘,列表正文,迪安诊断,AI agent 开发（医疗）,杭州,1-3年,1-3年（与0-2重叠）,硕士,AI Agent / 大模型应用,设计临床科研 Agent，实现任务规划、工具调用、记忆和多轮对话,Agent 架构；规划；工具；记忆；对话,医疗科研经验,未完整展示,规划;工具调用;记忆;多轮对话,领域应用,已验证直接证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少医疗领域与硕士背景证据,直接实现证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少医疗产品层,https://www.zhipin.com/zhaopin/2265e608aefd780f0nF62t24Fw~~/,列表正文可见
A12,2026-08-10,BOSS直聘,列表正文,Zoom,AI Agent 开发工程师,杭州,1-3年,1-3年（与0-2重叠）,硕士,AI Agent / 大模型应用,建设多模态 Agent 开发框架与智能协作系统并集成到协作产品,Agent 框架；智能协作,多模态经验,未完整展示,多Agent;协作,平台集成,直接实现证据,有协作审批和完整产品工作流,缺少多模态与实时协作,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少多模态与托管规模,https://www.zhipin.com/zhaopin/2265e608aefd780f0nF62t24Fw~~/,列表正文可见
A13,2026-08-10,BOSS直聘,列表正文,量驰,AI Agent 开发工程师,杭州,经验不限,经验不限,本科,AI Agent / 大模型应用,基于主流模型开发 Agent 与 RAG 系统，进行提示词、API 集成和向量检索,LLM API；Agent；RAG,未完整展示,Python;RAG;LLM API,Prompt;Agent,API集成,直接实现证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,没有 RAG 或向量数据库,直接实现证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,没有 RAG 或向量数据库,https://www.zhipin.com/zhaopin/2265e608aefd780f0nF62t24Fw~~/,列表正文可见
A14,2026-08-10,BOSS直聘,搜索摘要,如泽,AI agent 开发,杭州,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,开发规划、记忆、工具调用、反思和多智能体协作模块,Agent 架构；规划；记忆；工具调用,未完整展示,LLM,规划;记忆;工具调用;反思;多Agent,模块开发,直接实现证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少反思机制与多 Agent 产品路径,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少托管产品规模,https://www.zhipin.com/zhaopin/2265e608aefd780f0nF62t24Fw~~/,搜索摘要与列表正文可见
A15,2026-08-10,BOSS直聘,列表正文,昀晗贸易,电商 AI 智能体开发,杭州,1-3年,1-3年（与0-2重叠）,大专,AI Agent / 大模型应用,基于 OpenClaw、Hermes 等开发电商智能体和自动化流程,Agent 工具；自动化流程,电商场景经验,OpenClaw;Hermes,工作流;自动化,业务落地,直接实现证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少电商场景与真实外部集成,直接实现证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少电商产品层,https://www.zhipin.com/zhaopin/2265e608aefd780f0nF62t24Fw~~/,列表正文可见
A16,2026-08-10,BOSS直聘,搜索摘要,高云,AI agent 开发工程师,广州,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,开发 Agent 目标规划、任务分解、工具调用、记忆和反馈优化模块,Agent 核心机制,未完整展示,未完整展示,规划;任务分解;工具调用;记忆,反馈优化,直接实现证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少通用记忆与反馈学习,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少托管业务指标,https://www.zhipin.com/zhaopin/694c682c6021630e0nB82Nu-FQ~~/,搜索摘要与列表正文可见
A17,2026-08-10,BOSS直聘,搜索摘要,丝卡弗,AI Agent 开发工程师,广州,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,为市场分析、数据收集和内容生产设计 AI 工作流与多智能体调度,Agent 工作流；多 Agent,跨部门业务自动化经验,未完整展示,工作流;多Agent,业务自动化,已验证直接证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少市场与内容场景,直接实现证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少业务产品界面,https://www.zhipin.com/zhaopin/694c682c6021630e0nB82Nu-FQ~~/,搜索摘要可见
A18,2026-08-10,BOSS直聘,列表正文,飞虎科技,AI Agent 开发工程师,广州,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,参与 AI 项目调研、业务梳理、需求分析、建模和产品迭代,需求分析；AI 项目开发,未完整展示,未完整展示,Agent应用,需求分析;产品迭代,已验证直接证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少真实客户交付记录,相邻证据,底层机制可支持应用开发,缺少完整业务产品案例,https://www.zhipin.com/zhaopin/694c682c6021630e0nB82Nu-FQ~~/,列表正文可见
R01,2026-08-10,BOSS直聘,列表正文,北京乐动自旋,AI Agent 高级开发工程师,北京,1-3年,1-3年（与0-2重叠）,本科,Agent Platform / Runtime / Coding Agent,开发 Agent 核心框架、多 Agent 协作协议及外部系统集成,Agent 框架；多 Agent 协议；系统集成,未完整展示,未完整展示,多Agent;协议;工具集成,核心框架,相邻证据,有受治理单 Agent 业务工作流,没有多 Agent Runtime,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,没有分布式协调或恢复,https://www.zhipin.com/zhaopin/4bf879c1368205460nB_39q7Fg~~/,标题高级但经验字段为1-3年
R02,2026-08-10,BOSS直聘,搜索摘要,Web3.x,ai agent 工程师,北京,1-3年,1-3年（与0-2重叠）,本科,Agent Platform / Runtime / Coding Agent,建设企业级 Agent、AIGC 工具平台和多 Agent 协作架构,Agent 平台；任务分解；工具调用；记忆,RAG,RAG,多Agent;任务分解;工具调用;记忆,平台工程,直接实现证据,工具治理、审批与审计可作为平台案例,没有通用 Agent 平台,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,没有 RAG 和托管控制面,https://www.zhipin.com/zhaopin/814ba6a7c776bf5a0nB729q4Fg~~/,搜索摘要可见
R03,2026-08-10,BOSS直聘,列表正文,FOSHO 自在必得科技,AI Agent 工程师,深圳,1-3年,1-3年（与0-2重叠）,本科,Agent Platform / Runtime / Coding Agent,基于 Claude Code、Agent SDK、OpenClaw 与 OpenHarness 研发 Agent 框架,Coding Agent 框架；Agent SDK,未完整展示,TypeScript;Agent SDK;Claude Code,Coding Agent;工具运行时,框架研发,相邻证据,可证明治理与业务落地,不是 Coding Agent Runtime,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,无托管服务与崩溃恢复,https://www.zhipin.com/zhaopin/f06fadd82645966d0nB509y9EQ~~/,列表正文可见
R04,2026-08-10,猎聘,完整详情,绿联科技,AI Agent 前端开发工程师,深圳,1-3年,1-3年（与0-2重叠）,本科,Agent Platform / Runtime / Coding Agent,用 Node.js/TypeScript 建设任务编排、工具调用、MCP、上下文、状态、异常与行为回归,1年以上 Agent 产品；Node.js/TypeScript；上下文与工具机制,多Agent；Agent框架；开源或技术文章,Node.js;TypeScript;React;MCP;RAG,规划;工具调用;上下文;记忆;多Agent,超时;重试;恢复;幂等;日志;测试,直接实现证据,Next.js 产品、工具治理与审计链路可匹配部分职责,缺少 MCP、RAG 和 Runtime 恢复,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,没有 RAG、托管高可用或状态恢复,https://www.liepin.com/job/1983680297.shtml,完整详情；与 Forge Harness 高度匹配
R05,2026-08-10,BOSS直聘,列表正文,上海海纬智界信息技术,AI Agent 开发工程师,深圳,1-3年,1-3年（与0-2重叠）,大专,Agent Platform / Runtime / Coding Agent,建设类似 OpenClaw/Hermes 的自主智能体平台，支持主动执行、多 Agent、长期记忆和自动化,Agent 平台；多 Agent；长期记忆,未完整展示,OpenClaw;Hermes,自主执行;多Agent;长期记忆,平台工程,相邻证据,业务工作流和审计可作为应用验证,没有通用平台和长期记忆,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,没有长期记忆与跨运行恢复,https://www.zhipin.com/zhaopin/f06fadd82645966d0nB509y9EQ~~/,列表正文可见
R06,2026-08-10,BOSS直聘,搜索摘要,SenseTime,AI 设计专家和 Harness 工程师,上海,1-3年,1-3年（与0-2重叠）,本科,Agent Platform / Runtime / Coding Agent,建设设计 Agent 的 Benchmark，定义真实任务、评测目标和任务类型,Agent Benchmark；任务评测,图像生成与设计场景经验,未完整展示,Agent评测,Benchmark;任务设计,直接实现证据,Eval Lab 可证明任务与链路评测,缺少图像设计 Benchmark,已验证直接证据,离线行为回归；确定性 Trace/Git/TaskGraph 评分,缺少图像生成与设计场景,https://www.zhipin.com/zhaopin/a39dae2511eea8f1031_3d26GQ~~/,搜索摘要可见
R07,2026-08-10,BOSS直聘,搜索摘要,某北京测试平台团队,AI Agent / MCP Tools 全栈工程师,北京,1-3年,1-3年（与0-2重叠）,本科,Agent Platform / Runtime / Coding Agent,建设 Agent/MCP 工具与 AI 驱动测试工程实践，支持发布稳定性,MCP Tools；Agent 工具链,自动化测试经验,MCP,工具调用;插件,测试;发布验证,直接实现证据,具备确定性测试和受控工具执行,缺少 MCP 实现,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少托管发布平台,https://m.zhipin.com/zhaopin/f9254baa663f5f2b1nV-3Nu6Fg~~/,公司名未在摘要中披露
R08,2026-08-10,BOSS直聘,列表正文,不鸣科技,AI Native 引擎系统开发工程师,杭州,1-3年,1-3年（与0-2重叠）,本科,Agent Platform / Runtime / Coding Agent,建设可被 AI Agent 理解、查询和调用的游戏引擎能力,AI Native 引擎；Agent 工具接口,游戏引擎经验,未完整展示,工具调用;Agent接口,引擎系统,相邻证据,可证明后端工具边界,缺少游戏引擎与 Coding Agent 集成,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少游戏引擎适配,https://www.zhipin.com/zhaopin/2265e608aefd780f0nF62t24Fw~~/,列表正文可见
R09,2026-08-10,BOSS直聘,列表正文,曼孚科技,AI 大模型开发工程师,杭州,1-3年,1-3年（与0-2重叠）,本科,Agent Platform / Runtime / Coding Agent,围绕 Coding、Agentic、多模态和垂直任务建设模型评测、合成数据与效果闭环,评测体系；能力缺口分析,合成数据与多模态,未完整展示,Coding Agent;Agentic,评测;回归,直接实现证据,Eval Lab 和确定性治理评分可迁移,缺少模型级合成数据,已验证直接证据,13次离线行为回归与版本基线,缺少多模态和大规模统计,https://www.zhipin.com/zhaopin/2265e608aefd780f0nF62t24Fw~~/,列表正文可见
R10,2026-08-10,BOSS直聘,列表正文,同花顺,AI Builder（云原生 PaaS 与 OPC 平台开发）,杭州,经验不限,经验不限,本科,Agent Platform / Runtime / Coding Agent,建设面向 Agent 的 AI 原生应用创建、交付、运行与治理平台,PaaS；Agent 创建与运行治理,云原生经验,PaaS,Agent平台;治理,交付;运行平台,直接实现证据,有 Agent 治理与应用工作台,没有 PaaS 或多租户,直接实现证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,没有云原生托管控制面,https://www.zhipin.com/zhaopin/2265e608aefd780f0nF62t24Fw~~/,列表正文可见
R11,2026-08-10,BOSS直聘,列表正文,字节跳动,AI Agent 开发工程师-抖音-广州/杭州,广州,1-3年,1-3年（与0-2重叠）,本科,Agent Platform / Runtime / Coding Agent,设计 LLM 智能体核心架构并开发高性能 Agent 平台后端,Agent 核心架构；后端服务优化,大型内容平台经验,未完整展示,规划;对话管理;意图识别,高性能后端,直接实现证据,Agent 编排、FastAPI 与事务测试可证明后端能力,缺少高流量量化证据,直接实现证据,核心 Runtime 与工具协议可匹配,缺少生产规模和托管服务,https://www.zhipin.com/zhaopin/694c682c6021630e0nB82Nu-FQ~~/,列表正文可见
R12,2026-08-10,BOSS直聘,列表正文,斯睿特,AI Agent 开发工程师,广州,1-3年,1-3年（与0-2重叠）,本科,Agent Platform / Runtime / Coding Agent,全栈开发 AI 应用平台与业务系统，覆盖前端、后端及 Agent 能力,AI 平台全栈；Agent 集成,未完整展示,未完整展示,Agent平台,全栈;平台工程,已验证直接证据,Next.js、FastAPI、Postgres 与完整工作台,缺少通用平台与租户能力,直接实现证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,没有 Web 控制面,https://www.zhipin.com/zhaopin/694c682c6021630e0nB82Nu-FQ~~/,列表正文可见
B01,2026-08-10,BOSS直聘,列表正文,环宇博亚,Java 研发工程师（AI 辅助开发）,北京,1-3年,1-3年（与0-2重叠）,本科,AI 平台后端,开发网安与数据安全产品，使用 AI 编码工具参与功能、联调和交付,Java 后端；工程交付,安全产品经验,Java,AI辅助开发,后端工程;联调,相邻证据,FastAPI/Postgres；RBAC；幂等与事务一致性；容器化和数据库测试,主要后端为 Python，不是 Java,相邻证据,完整 TypeScript 工程与验证,不是 Java 服务,https://www.zhipin.com/zhaopin/4bf879c1368205460nB_39q7Fg~~/,Agent 要求较弱，作为后端对照样本
B02,2026-08-10,BOSS直聘,列表正文,爱诗科技,AI 后端开发工程师,北京,1-3年,1-3年（与0-2重叠）,本科,AI 平台后端,负责模型产物上线、AIGC 产品方案和架构优化,后端架构；模型服务落地,性能与稳定性优化,未完整展示,模型服务,架构;上线,已验证直接证据,FastAPI/Postgres；RBAC；幂等与事务一致性；容器化和数据库测试,缺少真实模型部署规模,相邻证据,具备模型调用边界和 Runtime,缺少托管模型服务,https://www.zhipin.com/zhaopin/4bf879c1368205460nB_39q7Fg~~/,列表正文可见
B03,2026-08-10,BOSS直聘,列表正文,深圳市蛙蔻科技,AI 应用开发工程师,广州,1-3年,1-3年（与0-2重叠）,学历不限,AI 平台后端,使用 TypeScript、Node.js、Fastify、Prisma 和 PostgreSQL 开发企业 AI 应用平台后端,TypeScript；Node.js；PostgreSQL,未完整展示,TypeScript;Node.js;Fastify;Prisma;PostgreSQL,AI应用平台,API;数据库;后端,已验证直接证据,FastAPI/Postgres；RBAC；幂等与事务一致性；容器化和数据库测试,后端语言与框架不同,直接实现证据,TypeScript Runtime 与模块化工具层,缺少 Web 后端与 PostgreSQL,https://www.zhipin.com/zhaopin/694c682c6021630e0nB82Nu-FQ~~/,列表正文可见
B04,2026-08-10,BOSS直聘,列表正文,杭州赢云贸易,AI Agent 开发师（Java）SDE04,杭州,1-3年,1-3年（与0-2重叠）,本科,AI 平台后端,要求扎实 Java 后端，独立负责核心模块并使用 AI 编程提升交付,Java 后端；核心模块 ownership,AI 编程工作流,Java,AI Coding,后端工程;复杂问题,直接实现证据,FastAPI/Postgres；RBAC；幂等与事务一致性；容器化和数据库测试,不是 Java 技术栈,相邻证据,Coding Agent Runtime 能证明工具理解,不是 Java 服务,https://www.zhipin.com/zhaopin/2265e608aefd780f0nF62t24Fw~~/,列表正文可见
B05,2026-08-10,BOSS直聘,列表正文,中关村翠湖网络计算研究院,AI 应用研发工程师（上海/深圳）,上海,1-3年,1-3年（与0-2重叠）,本科,AI 平台后端,用 LLM、Agent 和传统机器学习建设跨境支付风控 Copilot,LLM/Agent 集成；业务系统开发,风控与图计算,LLM API,Copilot;Agent,支付风控;后端集成,已验证直接证据,账单业务、审批门、审计与后端状态一致性,没有真实支付或风控模型,相邻证据,工具治理和 Runtime 可迁移,没有支付业务层,https://www.zhipin.com/zhaopin/fb935b1cb5b294eb1Hd53N-9GQ~~/,列表正文可见
B06,2026-08-10,BOSS直聘,搜索摘要,中科创达,Java 后端开发工程师（Agent/IM 方向）,上海,1-3年,1-3年（与0-2重叠）,大专,AI 平台后端,实现 Agent 后端的意图识别、任务调度、插件调用和上下文管理,Java；后端系统；插件与上下文,IM 系统经验,Java,任务调度;插件调用;上下文,后端系统,直接实现证据,FastAPI/Postgres；RBAC；幂等与事务一致性；容器化和数据库测试,不是 Java/IM 技术栈,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,没有 IM 与网络服务,https://www.zhipin.com/zhaopin/8aefda8719def6131HNz3tW-/,搜索摘要可见
F01,2026-08-10,猎聘,完整详情,申通快递,全栈开发工程师（React + Java + AI agent）,上海,1-3年,1-3年（与0-2重叠）,统招本科,AI 产品全栈,用 React、Spring Boot、REST API 和数据库开发客服 AI Agent 产品,2年全栈；React；Java；数据库；Git,LLM/Agent 集成,React;Java;Spring Boot;MySQL;Redis;Elasticsearch,Agent集成,REST API;系统设计;全栈,已验证直接证据,Next.js/FastAPI/Postgres 客服工作台与端到端测试,不是 React+Java，缺少 Elasticsearch,相邻证据,TypeScript 工程与 Agent Runtime,没有 Web UI 与 Java 后端,https://www.liepin.com/job/1981454911.shtml,完整详情
F02,2026-08-10,BOSS直聘,列表正文,深度赋智,AI native 全栈研发工程师,深圳,1-3年,1-3年（与0-2重叠）,本科,AI 产品全栈,跨越前后端与 Agent 算法边界，完成 Vibe Coding 产品端到端交付,全栈开发；Agent 产品,AI Coding 产品经验,未完整展示,AI Native;Coding Agent,端到端交付,已验证直接证据,Next.js/FastAPI/Postgres 完整产品切片,缺少用户规模与业务指标,直接实现证据,Coding Agent Runtime 与 TypeScript,没有产品 UI,https://www.zhipin.com/zhaopin/f06fadd82645966d0nB509y9EQ~~/,列表正文可见
F03,2026-08-10,BOSS直聘,列表正文,趋势智能,AI Agent 全栈开发工程师,广州,1年以内,0-1年,本科,AI 产品全栈,开发智能客服、报告解析、索引构建等 LLM 智能体应用,LLM 应用全栈开发,多业务场景经验,未完整展示,智能客服;Agent,全栈;业务应用,已验证直接证据,客服工作台、后端 Agent 与审批/eval 产品面,缺少真实客户和流量,相邻证据,底层 Runtime 可补技术深度,没有 Web 产品,https://www.zhipin.com/zhaopin/694c682c6021630e0nB82Nu-FQ~~/,列表正文可见
F04,2026-08-10,BOSS直聘,搜索摘要,趣丸,AI Native 全栈开发工程师,广州,1-3年,1-3年（与0-2重叠）,本科,AI 产品全栈,将模型能力做成可用、可规模化的产品，跨越传统前后端边界,AI Native 全栈；产品工程,规模化产品经验,未完整展示,AI Native,全栈;产品工程,已验证直接证据,完整工作台、API、数据库与治理路径,缺少生产规模与用户指标,直接实现证据,Agent Runtime 和工程验证,没有产品 UI 与在线服务,https://www.zhipin.com/zhaopin/694c682c6021630e0nB82Nu-FQ~~/,搜索摘要可见
